
DELEGADO ANTÔNIO FURTADO;204451;PSL;RJ;5335.05;6335.17;10128.38;5018.57;6553.83;6624.84;8563.46;8463.81
DELEGADO ÉDER MAURO;178908;PSD;PA;52620.29;37195.1;73007.23;31220.21;16191.21;85137.61;11546.96;22605.0
DELEGADO MARCELO FREITAS;204512;PSL;MG;3333.46;6094.95;10296.76;4958.12;28248.01;8773.96;8316.52;6185.24
DELEGADO PABLO;204569;PSL;AM;33795.45;31014.54;38672.5;30515.4;16210.26;16263.96;15548.93;20092.43
DELEGADO WALDIR;164359;PSL;GO;2587.55;2524.78;1915.82;2335.14;2639.35;8227.95;2186.01;2427.78
DENIS BEZERRA;204542;PSB;CE;21854.73;2715.08;5332.06;6358.62;6761.96;6454.2;6705.03;6075.98
DIEGO ANDRADE;160588;PSD;MG;5391.77;5410.11;5558.05;5880.24;5482.15;5617.56;5614.05;5241.53
DIEGO GARCIA;178929;PODE;PR;3162.44;4015.34;4499.32;7703.48;6659.35;5882.22;5918.94;5939.76
DIMAS FABIANO;160599;PP;MG;7804.45;9081.38;8782.98;7567.57;8321.99;8511.97;8534.59;8140.23
DOMINGOS NETO;143632;PSD;CE;34778.4;47297.63;50008.47;51677.17;38500.76;56033.59;49676.36;24350.0
DOMINGOS SÁVIO;160758;PSDB;MG;14189.57;3412.2;13741.58;6445.53;5577.94;6015.55;5413.48;5086.67
DR. FREDERICO;204518;PATRIOTA;MG;12466.41;13413.94;23615.08;17791.27;17634.68;15322.26;17114.42;16937.67
DR. JAZIEL;204481;PL;CE;2467.53;3226.62;5689.51;4890.71;9006.51;5166.88;4932.85;3042.54
DR. LEONARDO;204439;SOLIDARIEDADE;MT;3797.37;3016.81;7701.47;14329.06;5609.16;4417.93;4531.68;5232.04
DR. LUIZ ANTONIO TEIXEIRA JR.;204450;PP;RJ;12337.45;10290.91;18135.68;16951.99;27615.08;16871.8;33733.28;18931.71
DR. LUIZ OVANDO;204351;PSL;MS;3850.25;5407.48;5385.58;5534.63;5436.63;5746.97;5596.61;6143.64
DR. ZACHARIAS CALIL;204412;DEM;GO;18941.41;19989.74;18765.04;19053.08;5018.9;5003.47;5326.18;5064.19
DRA. SORAYA MANATO;81297;PSL;ES;18663.03;18309.29;20742.13;20281.54;15550.85;21743.27;22749.51;71229.9
DRA. VANDA MILANI;204434;SOLIDARIEDADE;AC;3951.61;9916.42;12474.89;21486.67;23749.57;50077.66;9171.5;26033.45
DULCE MIRANDA;178994;MDB;TO;29478.47;27436.7;30396.72;6148.42;6230.87;6062.93;26212.75;5959.16
EDILÁZIO JÚNIOR;204562;PSD;MA;11040.49;19699.96;15519.39;39749.43;19996.59;26355.1;34097.43;31462.51
EDIO LOPES;141417;PL;RR;41579.18;29612.01;30791.57;53649.83;22207.03;25911.36;17588.32;19741.48
EDMILSON RODRIGUES;134812;PSOL;PA;26939.51;25727.31;5360.56;19911.54;27001.61;34520.96;24549.87;10892.61
EDNA HENRIQUE;204421;PSDB;PB;16704.65;14497.39;16578.44;4829.67;4544.75;5974.23;5285.59;5347.92
EDUARDO BARBOSA;74655;PSDB;MG;5950.42;5145.07;12409.18;12556.03;9822.24;6468.11;6046.46;7434.86
EDUARDO BISMARCK;204541;PDT;CE;14949.52;6516.4;4472.11;4573.4;4534.06;4714.8;5335.71;5870.04
EDUARDO BOLSONARO;92346;PSL;SP;7450.84;6706.39;7000.79;6210.39;11638.84;11621.78;11528.75;11835.32
EDUARDO BRAIDE;204552;PMN;MA;11365.32;9130.82;21383.01;20988.27;20750.73;22645.23;18634.23;21045.24
EDUARDO COSTA;204500;PTB;PA;3103.7;33378.11;5475.76;6632.45;26761.16;54423.98;27235.86;40899.07
EDUARDO CURY;178977;PSDB;SP;8128.64;9576.9;9045.19;9223.2;8904.75;9443.87;9210.79;9174.12
EDUARDO DA FONTE;141421;PP;PE;2126.53;16238.14;6940.57;2248.65;4150.92;6538.25;1886.09;2355.44
EFRAIM FILHO;141422;DEM;PB;15657.42;24114.7;13351.84;37939.16;21489.87;30152.29;19550.0;5889.55
ELCIONE BARBALHO;74075;MDB;PA;5449.64;4690.6;6594.32;6826.61;12110.05;5098.81;13185.58;72899.85
ELI BORGES;204364;SOLIDARIEDADE;TO;4781.16;12399.02;3398.4;5059.85;4729.34;5665.86;5592.09;5520.67
ELI CORRÊA FILHO;160532;DEM;SP;20220.99;20512.3;20945.38;23947.53;20456.22;24084.62;22585.43;17898.46
ELIAS VAZ;204389;PSB;GO;2090.43;12855.95;4115.49;9602.75;11607.86;10250.99;10412.98;10014.96
ELMAR NASCIMENTO;178854;DEM;BA;17792.52;17918.66;6119.54;17729.55;41983.95;41970.57;33328.63;26316.71
EMANUEL PINHEIRO NETO;198783;PTB;MT;7922.53;3363.09;2220.0;2324.9;4466.95;4771.65;4099.72;4695.11
EMIDINHO MADEIRA;161550;PSB;MG;7284.5;10338.12;5833.47;7770.27;13968.78;13728.48;13787.78;18239.02
ENÉIAS REIS;207309;PSL;MG;9244.19;2174.67;5170.42;8322.24;15630.99;24309.24;21148.02;13959.95
ENIO VERRI;132504;PT;PR;27961.73;20358.98;42953.43;19765.3;28184.74;20968.33;29567.72;29382.71
ENRICO MISASI;204537;PV;SP;2114.85;2784.89;2747.51;13792.99;16591.69;6778.76;16592.91;16728.49
ERIKA KOKAY;160575;PT;DF;27969.26;28069.96;34766.61;28251.22;33109.76;30645.7;21485.6;20569.22
EROS BIONDINI;160640;PROS;MG;12545.06;8112.67;14022.31;11401.58;12069.19;11939.93;8464.87;9798.62
EUCLYDES PETTERSEN;204482;PSC;MG;14702.26;3107.39;5708.54;2641.33;50329.39;54397.2;5474.92;13188.97
EVAIR VIEIRA DE MELO;178871;PP;ES;10415.75;8892.38;10295.68;11659.21;19007.53;21868.65;9135.56;11794.18
EXPEDITO NETTO;178953;PSD;RO;3511.25;3565.35;21583.06;19766.63;3331.08;7441.55;2727.86;12268.53
FABIANO TOLENTINO;211866;CIDADANIA;MG;0.0;0.0;0.0;0.0;0.0;0.0;1006.1;3301.69
FÁBIO FARIA;141428;PSD;RN;7824.93;7874.58;9008.68;18422.84;19906.13;17347.5;9254.47;18452.33
FÁBIO HENRIQUE;68720;PDT;SE;8422.18;5522.63;5439.53;5745.72;5478.99;5641.2;5818.79;5936.6
FÁBIO MITIDIERI;178969;PSD;SE;20000.38;10841.21;3984.39;19765.29;20668.13;20215.25;32695.73;22971.86
FÁBIO RAMALHO;141427;MDB;MG;8048.08;7810.64;8494.54;8770.79;8742.45;8925.56;9433.13;9231.72
FABIO REIS;171623;MDB;SE;9668.43;21683.74;22846.41;9520.63;22261.82;8813.4;8866.14;8446.34
FABIO SCHIOCHET;204368;PSL;SC;17692.84;20470.96;5423.42;5135.68;5219.56;4895.45;4808.81;4608.72
FÁBIO TRAD;160587;PSD;MS;9398.05;12565.78;17219.64;14836.31;17269.31;15524.29;17385.25;3688.7
FAUSTO PINATO;66828;PP;SP;18438.58;17490.44;17482.71;18443.51;16516.67;18134.78;16402.32;17718.49
FELÍCIO LATERÇA;204477;PSL;RJ;6667.46;3089.99;3451.74;4252.13;3674.24;3822.73;4137.22;4792.75
FELIPE CARRERAS;72442;PSB;PE;3120.42;12143.47;18454.83;15202.14;13195.44;17431.48;13247.88;3000.0
FELIPE FRANCISCHINI;204398;PSL;PR;14039.64;12799.79;15552.68;49140.66;27340.76;27093.69;25417.28;28580.41
FELIPE RIGONI;204371;PSB;ES;2630.42;4274.48;4420.53;4248.33;5110.43;4865.22;5339.55;5004.41
FÉLIX MENDONÇA JÚNIOR;160666;PDT;BA;9058.32;12286.24;50004.51;14604.78;15648.59;74062.3;13762.81;13635.97
FERNANDA MELCHIONNA;204407;PSOL;RS;15415.49;6979.14;14880.67;4842.28;15791.67;4622.03;14883.43;10708.23
FERNANDO BORJA;212504;AVANTE;MG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
FERNANDO COELHO FILHO;141431;DEM;PE;12649.68;4186.61;10102.76;11765.8;2782.9;8690.1;8065.24;5638.6
